seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,baseline,199552,28,0.13626262626262628,0.16767676767676765,0.0,0.25527777777777777,0.7447222222222223
2,baseline,199552,7,0.1303030303030303,0.1414141414141414,0.0,0.23333333333333334,0.7666666666666666
3,baseline,199552,17,0.17242424242424242,0.14141414141414144,0.0,0.2452777777777778,0.7547222222222222
4,baseline,199552,20,0.13808080808080808,0.12494949494949495,0.0,0.22944444444444445,0.7705555555555555
5,baseline,199552,19,0.15242424242424243,0.14575757575757575,0.0,0.24722222222222223,0.7527777777777778
