seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,pot,332548,6,0.1390909090909091,0.13565656565656564,0.0,0.2625,0.7375
2,pot,332548,13,0.13606060606060605,0.13,0.0,0.22944444444444445,0.7705555555555555
3,pot,332548,13,0.1522222222222222,0.1316161616161616,0.0,0.2513888888888889,0.7486111111111111
4,pot,332548,28,0.14747474747474745,0.17595959595959593,0.0,0.24888888888888888,0.7511111111111111
5,pot,332548,30,0.16242424242424242,0.17424242424242425,0.0,0.27416666666666667,0.7258333333333333
