seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,pot,332548,20,0.14575757575757575,0.14646464646464646,0.0,0.26305555555555554,0.7369444444444444
2,pot,332548,13,0.1314141414141414,0.14333333333333334,0.0,0.2311111111111111,0.768888888888889
3,pot,332548,12,0.16626262626262625,0.14363636363636365,0.0,0.24416666666666667,0.7558333333333334
4,pot,332548,28,0.14343434343434344,0.1598989898989899,0.0,0.25027777777777777,0.7497222222222222
5,pot,332548,25,0.1482828282828283,0.13565656565656564,0.0,0.24472222222222223,0.7552777777777777
