seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,pot,332548,10,0.12164912280701753,0.11038596491228073,0.0,0.17983333333333335,0.8201666666666667
2,pot,332548,32,0.09817543859649124,0.10561403508771929,0.0,0.17766666666666667,0.8223333333333334
3,pot,332548,6,0.11256140350877193,0.10898245614035088,0.0,0.17866666666666667,0.8213333333333334
