seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,pot,332548,5,0.12649122807017543,0.1116140350877193,0.0,0.17483333333333334,0.8251666666666666
2,pot,332548,14,0.10571929824561403,0.10803508771929823,0.0,0.18283333333333332,0.8171666666666667
3,pot,332548,14,0.10154385964912281,0.09635087719298245,0.0,0.1755,0.8245
