seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,pot,332548,8,0.15171717171717172,0.1484848484848485,0.0,0.26722222222222225,0.7327777777777778
2,pot,332548,18,0.1392929292929293,0.14020202020202022,0.0,0.2338888888888889,0.7661111111111111
3,pot,332548,5,0.16181818181818183,0.14696969696969697,0.0,0.2525,0.7475
4,pot,332548,28,0.16454545454545452,0.1507070707070707,0.0,0.24972222222222223,0.7502777777777778
5,pot,332548,26,0.15818181818181817,0.15,0.0,0.24638888888888888,0.7536111111111111
