seed,model,n_params,best_epoch,best_dev_kendall,test_kendall,test_perfect,test_accuracy,test_hamming
1,baseline,199552,39,0.12056140350877192,0.10343859649122807,0.0,0.16933333333333334,0.8306666666666667
2,baseline,199552,34,0.10245614035087719,0.09635087719298245,0.0,0.17266666666666666,0.8273333333333334
3,baseline,199552,25,0.11242105263157896,0.074,0.0,0.164,0.836
