timestamp,n_heads,seed,d_model,depth,R,T,best_tau,final_tau,params_M
2025-10-13 18:03:12,2,42,128,3,4,4,0.0293,0.0293,0.61
2025-10-13 18:09:07,2,43,128,3,4,4,0.0391,0.0239,0.61
2025-10-13 18:12:44,4,42,128,3,4,4,0.0336,0.0249,0.61
2025-10-13 18:16:17,4,43,128,3,4,4,0.0298,0.0184,0.61
2025-10-13 18:20:51,8,42,128,3,4,4,0.0269,0.0269,0.61
2025-10-13 18:25:22,8,43,128,3,4,4,0.0362,0.0203,0.61
